Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
NAVALENO,SORIA,,SORIA,499655.67,4631781.72,732,SORIA,TARDELCUENDE,40233.14529952834
NOLAY,SORIA,,SORIA,554071.53,4597482.5,48,SORIA,TARDELCUENDE,25566.264314541746
ÓLVEGA,SORIA,,SORIA,584542.68,4625901.25,3838,SORIA,TARDELCUENDE,58799.19776466336
QUINTANA REDONDA,SORIA,,SORIA,532058.47,4609898.71,512,SORIA,TARDELCUENDE,5542.881903964338
RECUERDA,SORIA,,SORIA,500436.48,4591568.56,62,SORIA,TARDELCUENDE,32087.753411395457
SAN ESTEBAN DE GORMAZ,SORIA,,SORIA,482632.81,4602643.5,2935,SORIA,TARDELCUENDE,47034.983206649464
SANTA MARÍA DE HUERTA,SORIA,,SORIA,568963.35,4568091.29,242,SORIA,TARDELCUENDE,53899.87402639948
TARODA,SORIA,,SORIA,547494.33,4577503.5,46,SORIA,TARDELCUENDE,32736.61321341939
VALDEMALUQUE,SORIA,,SORIA,496097.73,4613653.51,137,SORIA,TARDELCUENDE,34632.75020370871
VILLACIERVOS,SORIA,,SORIA,530958.54,4623741.72,86,SORIA,TARDELCUENDE,18865.07614270543
VILLASAYAS,SORIA,,SORIA,532600.39,4578029.63,60,SORIA,TARDELCUENDE,27060.56631359607
VIZMANOS,SORIA,,SORIA,548946.99,4652647.65,30,SORIA,TARDELCUENDE,51490.79448822765
ALAEJOS,VALLADOLID,,VALLADOLID,314430.65,4575271.27,1407,VALLADOLID,FUENSALDAÑA,58225.33862288668
BAHABÓN,VALLADOLID,,VALLADOLID,392936.19,4592986.3,93,SEGOVIA,TURÉGANO,42836.803173333115
BECILLA DE VALDERADUEY,VALLADOLID,,VALLADOLID,316553.93,4663094.38,200,VALLADOLID,FUENSALDAÑA,57452.120473738
BENAFARCES,VALLADOLID,,VALLADOLID,308887.73,4610238.37,70,VALLADOLID,FUENSALDAÑA,45051.34158831893
BERCERUELO,VALLADOLID,,VALLADOLID,330475.0,4605188.32,36,VALLADOLID,FUENSALDAÑA,26413.24191822704
BOCOS DE DUERO,VALLADOLID,,VALLADOLID,410951.39,4608532.44,81,SEGOVIA,TURÉGANO,52148.77339901807
CABEZÓN DE VALDERADUEY,VALLADOLID,,VALLADOLID,321631.9,4670599.48,33,VALLADOLID,FUENSALDAÑA,60635.08713384407
CANALEJAS DE PEÑAFIEL,VALLADOLID,,VALLADOLID,406856.3,4597876.48,252,SEGOVIA,TURÉGANO,42190.93394162579
CASTREJÓN DE TRABANCOS,VALLADOLID,,VALLADOLID,318149.69,4568983.32,176,VALLADOLID,FUENSALDAÑA,60851.98850361794
CASTRILLO DE DUERO,VALLADOLID,,VALLADOLID,415368.34,4603148.48,121,SEGOVIA,TURÉGANO,46564.88440536532
CEINOS DE CAMPOS,VALLADOLID,,VALLADOLID,321943.07,4655527.41,172,VALLADOLID,FUENSALDAÑA,48190.21019917036
CORRALES DE DUERO,VALLADOLID,,VALLADOLID,412651.39,4613740.28,105,SEGOVIA,TURÉGANO,57228.19482294127
ESGUEVILLAS DE ESGUEVA,VALLADOLID,,VALLADOLID,385268.89,4623121.15,258,VALLADOLID,FUENSALDAÑA,32438.890070879537
FUENSALDAÑA,VALLADOLID,,VALLADOLID,353121.48,4618782.3,2137,VALLADOLID,FUENSALDAÑA,0.0
ÍSCAR,VALLADOLID,,VALLADOLID,371973.91,4580318.13,6396,VALLADOLID,FUENSALDAÑA,42835.80850986466
LOMOVIEJO,VALLADOLID,,VALLADOLID,339068.05,4557170.26,51,ÁVILA,MUÑANA,62601.182809117076
MATAPOZUELOS,VALLADOLID,,VALLADOLID,350358.14,4585982.1,1015,VALLADOLID,FUENSALDAÑA,32916.396643551554
MEGECES,VALLADOLID,,VALLADOLID,369261.02,4585212.12,422,VALLADOLID,FUENSALDAÑA,37248.378980084235
MELGAR DE ABAJO,VALLADOLID,,VALLADOLID,323310.82,4679185.55,114,PALENCIA,OSORNO LA MAYOR,66866.06816202447
PEDROSA DEL REY,VALLADOLID,,VALLADOLID,316162.75,4602774.29,148,VALLADOLID,FUENSALDAÑA,40276.5950320157
PIÑA DE ESGUEVA,VALLADOLID,,VALLADOLID,381220.89,4620758.17,310,VALLADOLID,FUENSALDAÑA,28168.79309812549
POLLOS,VALLADOLID,,VALLADOLID,322459.74,4590169.14,562,VALLADOLID,FUENSALDAÑA,41938.707955935024
QUINTANILLA DEL MOLAR,VALLADOLID,,VALLADOLID,297088.82,4651528.26,47,VALLADOLID,FUENSALDAÑA,64899.59077680841
RAMIRO,VALLADOLID,,VALLADOLID,350312.06,4565740.2,46,VALLADOLID,FUENSALDAÑA,53116.44955328208
SAN LLORENTE,VALLADOLID,,VALLADOLID,411393.42,4615481.26,94,VALLADOLID,FUENSALDAÑA,58365.36521298569
SAN ROMÁN DE HORNIJA,VALLADOLID,,VALLADOLID,309273.61,4594596.21,301,VALLADOLID,FUENSALDAÑA,50075.96881763739
SANTOVENIA DE PISUERGA,VALLADOLID,,VALLADOLID,359286.6,4617445.27,4703,VALLADOLID,FUENSALDAÑA,6308.435133636601
SIMANCAS,VALLADOLID,,VALLADOLID,347656.27,4605921.27,5538,VALLADOLID,FUENSALDAÑA,13974.069307292215
TORRE DE ESGUEVA,VALLADOLID,,VALLADOLID,400253.75,4624653.17,62,VALLADOLID,FUENSALDAÑA,47496.50502836817
TUDELA DE DUERO,VALLADOLID,,VALLADOLID,368296.49,4604796.22,8786,VALLADOLID,FUENSALDAÑA,20637.135515049136
VALDESTILLAS,VALLADOLID,,VALLADOLID,352084.22,4593093.15,1612,VALLADOLID,FUENSALDAÑA,25710.082380849566
VALVERDE DE CAMPOS,VALLADOLID,,VALLADOLID,330759.1,4633403.34,91,VALLADOLID,FUENSALDAÑA,26717.98738576694
VILLAFRANCA DE DUERO,VALLADOLID,,VALLADOLID,307847.58,4589383.19,241,VALLADOLID,FUENSALDAÑA,53981.790355656616
VILLAGARCÍA DE CAMPOS,VALLADOLID,,VALLADOLID,317756.0,4627770.45,288,VALLADOLID,FUENSALDAÑA,36489.779610911675
VILLALBA DE LA LOMA,VALLADOLID,,VALLADOLID,319090.85,4671443.45,58,VALLADOLID,FUENSALDAÑA,62699.92422259727
VILLANUEVA DE LA CONDESA,VALLADOLID,,VALLADOLID,326921.0,4668505.52,59,VALLADOLID,FUENSALDAÑA,56203.76997496496
VILLANUEVA DE SAN MANCIO,VALLADOLID,,VALLADOLID,333104.17,4643853.35,102,VALLADOLID,FUENSALDAÑA,32081.930237106848
VILLAVICENCIO DE LOS CABALLEROS,VALLADOLID,,VALLADOLID,314849.97,4658406.35,221,VALLADOLID,FUENSALDAÑA,55088.781217981086
ALDEANUEVA DE SANTA CRUZ,ÁVILA,,ÁVILA,294609.69,4472963.05,102,ÁVILA,MUÑANA,41442.90302293503
ALDEASECA,ÁVILA,,ÁVILA,347253.98,4545810.2,203,ÁVILA,MUÑANA,53532.163018344756
ARÉVALO,ÁVILA,,ÁVILA,355576.01,4547452.16,7830,ÁVILA,MUÑANA,58298.65862971237
BLASCONUÑO DE MATACABRAS,ÁVILA,,ÁVILA,332956.96,4554416.3,14,ÁVILA,MUÑANA,59214.28480107313
BLASCOSANCHO,ÁVILA,,ÁVILA,362040.82,4526532.0,100,ÁVILA,MUÑANA,45090.388331938484
BOHOYO,ÁVILA,,ÁVILA,292451.69,4465767.15,214,ÁVILA,MUÑANA,47393.124337380046
CABEZAS DE ALAMBRE,ÁVILA,,ÁVILA,345067.79,4534078.16,153,ÁVILA,MUÑANA,41778.34678962927
CANTIVEROS,ÁVILA,,ÁVILA,335357.77,4535263.22,99,ÁVILA,MUÑANA,40385.837783298426
CASTELLANOS DE ZAPARDIEL,ÁVILA,,ÁVILA,339660.03,4549917.26,113,ÁVILA,MUÑANA,55549.19416893189
CILLÁN,ÁVILA,,ÁVILA,332901.51,4507821.12,79,ÁVILA,MUÑANA,12968.639460888244
CISLA,ÁVILA,,ÁVILA,330590.76,4536856.23,102,ÁVILA,MUÑANA,41568.064358068834
COLLADO DEL MIRÓN,ÁVILA,,ÁVILA,300726.68,4491964.97,20,ÁVILA,MUÑANA,28982.548389858668
DONVIDAS,ÁVILA,,ÁVILA,348420.03,4550166.22,36,ÁVILA,MUÑANA,58029.490179239845
EL BARRACO,ÁVILA,,ÁVILA,360887.29,4481892.98,2027,ÁVILA,MUÑANA,34116.440402499255
EL BOHODÓN,ÁVILA,,ÁVILA,354330.83,4530902.08,110,ÁVILA,MUÑANA,43394.86833959196
EL OSO,ÁVILA,,ÁVILA,350676.71,4522821.07,129,ÁVILA,MUÑANA,34713.86205275969
EL TIEMBLO,ÁVILA,,ÁVILA,372674.31,4474976.91,4526,ÁVILA,MUÑANA,47704.40723334887
ESPINOSA DE LOS CABALLEROS,ÁVILA,,ÁVILA,361166.97,4541082.09,97,ÁVILA,MUÑANA,55655.78328126919
FLORES DE ÁVILA,ÁVILA,,ÁVILA,325049.67,4533532.23,270,ÁVILA,MUÑANA,38490.245063813876
FUENTE EL SAÚZ,ÁVILA,,ÁVILA,339372.83,4538016.22,151,ÁVILA,MUÑANA,43836.607433040415
GALLEGOS DE SOBRINOS,ÁVILA,,ÁVILA,321607.51,4509524.07,45,ÁVILA,MUÑANA,16273.21422344133
GARGANTA DEL VILLAR,ÁVILA,,ÁVILA,321475.48,4479800.76,39,ÁVILA,MUÑANA,17462.746400386193
GAVILANES,ÁVILA,,ÁVILA,342393.17,4460135.02,529,ÁVILA,MUÑANA,37450.35916931797
GEMUÑO,ÁVILA,,ÁVILA,349183.42,4495096.07,142,ÁVILA,MUÑANA,19668.02862675617
GILBUENA,ÁVILA,,ÁVILA,278649.67,4477009.11,48,SALAMANCA,LINARES DE RIOFRÍO,32518.7090817529
HERNANSANCHO,ÁVILA,,ÁVILA,354159.76,4524378.05,142,ÁVILA,MUÑANA,38114.374165452355
LOS LLANOS DE TORMES,ÁVILA,,ÁVILA,287727.7,4467194.15,103,SALAMANCA,LINARES DE RIOFRÍO,45744.69825773876
MENGAMUÑOZ,ÁVILA,,ÁVILA,330605.42,4485263.99,54,ÁVILA,MUÑANA,10096.95303871875
MOMBELTRÁN,ÁVILA,,ÁVILA,328403.27,4458587.03,916,ÁVILA,MUÑANA,36731.89224421153
NARRILLOS DEL REBOLLAR,ÁVILA,,ÁVILA,333827.49,4503419.12,34,ÁVILA,MUÑANA,9190.849733583125
