Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
MEMBIBRE DE LA HOZ,SEGOVIA,,SEGOVIA,408222.17,4589075.44,43,SEGOVIA,TURÉGANO,33300.240079592855
MIGUELÁÑEZ,SEGOVIA,,SEGOVIA,385520.05,4553233.09,138,SEGOVIA,TURÉGANO,30182.608804230356
PEDROSILLO EL RALO,SALAMANCA,,SALAMANCA,285837.46,4548818.39,135,SALAMANCA,LINARES DE RIOFRÍO,61729.4126441811
PEÑAPARDA,SALAMANCA,,SALAMANCA,188283.5,4469803.01,308,SALAMANCA,LINARES DE RIOFRÍO,69866.01275976183
PINEDAS,SALAMANCA,,SALAMANCA,248923.76,4481377.22,94,SALAMANCA,LINARES DE RIOFRÍO,15792.52343100691
POZOS DE HINOJO,SALAMANCA,,SALAMANCA,212794.35,4534769.65,52,SALAMANCA,LINARES DE RIOFRÍO,55203.81084577533
PUERTO SEGURO,SALAMANCA,,SALAMANCA,182837.55,4526448.15,55,SALAMANCA,LINARES DE RIOFRÍO,75995.5747724967
ROBLIZA DE COJOS,SALAMANCA,,SALAMANCA,249126.38,4528351.01,187,SALAMANCA,LINARES DE RIOFRÍO,31864.57973989297
ROLLÁN,SALAMANCA,,SALAMANCA,254527.32,4538629.15,337,SALAMANCA,LINARES DE RIOFRÍO,41971.04557246158
SALDEANA,SALAMANCA,,SALAMANCA,194003.03,4547397.38,99,SALAMANCA,LINARES DE RIOFRÍO,77613.72609407314
SAN MUÑOZ,SALAMANCA,,SALAMANCA,236148.52,4519394.87,201,SALAMANCA,LINARES DE RIOFRÍO,28132.621724468092
SANCHOTELLO,SALAMANCA,,SALAMANCA,266514.65,4479808.13,212,SALAMANCA,LINARES DE RIOFRÍO,21775.56649381361
