Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
LLANO DE OLMEDO,VALLADOLID,,VALLADOLID,364896.95,4569775.16,161,SEGOVIA,AGUILAFUENTE,42220.40125971562
MEDINA DE RIOSECO,VALLADOLID,,VALLADOLID,330475.11,4638812.32,4537,VALLADOLID,CIGUÑUELA,31135.793589740526
MEDINA DEL CAMPO,VALLADOLID,,VALLADOLID,339677.01,4574671.17,20097,VALLADOLID,CIGUÑUELA,37225.44129327941
MONTEMAYOR DE PILILLA,VALLADOLID,,VALLADOLID,378314.22,4596130.19,860,VALLADOLID,CIGUÑUELA,36351.998816484345
MORALEJA DE LAS PANADERAS,VALLADOLID,,VALLADOLID,347102.06,4571068.17,38,VALLADOLID,CIGUÑUELA,40430.968979692916
PESQUERA DE DUERO,VALLADOLID,,VALLADOLID,403731.5,4610592.36,423,SEGOVIA,AGUILAFUENTE,46037.15360941541
PIÑEL DE ABAJO,VALLADOLID,,VALLADOLID,404563.53,4614362.3,163,SEGOVIA,AGUILAFUENTE,49754.874663503666
PORTILLO,VALLADOLID,,VALLADOLID,367411.21,4593158.15,2368,VALLADOLID,CIGUÑUELA,28662.841068620186
ROALES DE CAMPOS,VALLADOLID,,VALLADOLID,295079.72,4656112.24,165,ZAMORA,MANGANESES DE LA LAMPREANA,36564.978646483614
ROBLADILLO,VALLADOLID,,VALLADOLID,340847.16,4608008.3,87,VALLADOLID,CIGUÑUELA,5676.983900805102
SALVADOR DE ZAPARDIEL,VALLADOLID,,VALLADOLID,342517.06,4553332.25,103,ÁVILA,MUÑOGALINDO,56911.92242985021
SAN MIGUEL DEL PINO,VALLADOLID,,VALLADOLID,340598.1,4596905.2,367,VALLADOLID,CIGUÑUELA,15313.11835765627
SANTERVÁS DE CAMPOS,VALLADOLID,,VALLADOLID,326591.9,4676024.56,108,PALENCIA,CARRIÓN DE LOS CONDES,43189.41861223071
SIETE IGLESIAS DE TRABANCOS,VALLADOLID,,VALLADOLID,317190.66,4580090.2,419,VALLADOLID,CIGUÑUELA,42157.774537681405
TORDEHUMOS,VALLADOLID,,VALLADOLID,320527.03,4631301.42,375,VALLADOLID,CIGUÑUELA,31780.05754600365
TORRECILLA DE LA ORDEN,VALLADOLID,,VALLADOLID,313666.69,4565510.39,227,VALLADOLID,CIGUÑUELA,55816.88676550327
URONES DE CASTROPONCE,VALLADOLID,,VALLADOLID,311216.87,4663264.33,100,LEÓN,VALDEVIMBRE,45211.40242215124
VALBUENA DE DUERO,VALLADOLID,,VALLADOLID,392344.66,4610888.24,399,VALLADOLID,CIGUÑUELA,46994.89410269584
VALORIA LA BUENA,VALLADOLID,,VALLADOLID,372818.02,4628763.24,745,VALLADOLID,CIGUÑUELA,32460.286037267364
VEGA DE RUIPONCE,VALLADOLID,,VALLADOLID,325531.92,4672964.53,81,PALENCIA,CARRIÓN DE LOS CONDES,45185.84082955392
VELILLA,VALLADOLID,,VALLADOLID,332765.01,4602629.28,113,VALLADOLID,CIGUÑUELA,15377.536062155476
VILLAFRECHÓS,VALLADOLID,,VALLADOLID,315939.06,4640343.39,468,VALLADOLID,CIGUÑUELA,41223.41912563891
VILLAGÓMEZ LA NUEVA,VALLADOLID,,VALLADOLID,322883.94,4669244.48,51,PALENCIA,CARRIÓN DE LOS CONDES,49039.28906346898
VILLAMURIEL DE CAMPOS,VALLADOLID,,VALLADOLID,316991.07,4646281.37,51,VALLADOLID,CIGUÑUELA,44909.36535290853
VILLANUEVA DE LOS CABALLEROS,VALLADOLID,,VALLADOLID,313211.94,4625342.47,157,VALLADOLID,CIGUÑUELA,35010.73166775151
VILLAVERDE DE MEDINA,VALLADOLID,,VALLADOLID,330538.86,4574684.2,529,VALLADOLID,CIGUÑUELA,39648.72673579788
WAMBA,VALLADOLID,,VALLADOLID,340376.18,4615605.34,295,VALLADOLID,CIGUÑUELA,6476.449092519794
ZARATÁN,VALLADOLID,,VALLADOLID,351562.4,4613731.3,6383,VALLADOLID,CIGUÑUELA,6611.075520639602
ALGODRE,ZAMORA,,ZAMORA,282880.49,4604763.35,135,ZAMORA,MANGANESES DE LA LAMPREANA,22586.780904184234
BERMILLO DE SAYAGO,ZAMORA,,ZAMORA,239637.11,4584039.18,1026,ZAMORA,MANGANESES DE LA LAMPREANA,54485.27630150497
BRETÓ,ZAMORA,,ZAMORA,272740.35,4640043.32,166,ZAMORA,MANGANESES DE LA LAMPREANA,14376.024729030776
CARBAJALES DE ALBA,ZAMORA,,ZAMORA,250339.99,4615643.29,466,ZAMORA,MANGANESES DE LA LAMPREANA,26335.04084246697
CUBILLOS,ZAMORA,,ZAMORA,271590.35,4606113.35,295,ZAMORA,MANGANESES DE LA LAMPREANA,19915.00704507083
FRESNO DE LA POLVOROSA,ZAMORA,,ZAMORA,270940.27,4662693.24,114,ZAMORA,MANGANESES DE LA LAMPREANA,37084.880234986675
FUENTESPREADAS,ZAMORA,,ZAMORA,280090.6,4578293.33,290,ZAMORA,MANGANESES DE LA LAMPREANA,47811.7390297666
JAMBRINA,ZAMORA,,ZAMORA,277230.52,4585893.33,149,ZAMORA,MANGANESES DE LA LAMPREANA,39984.06129226127
MADRIDANOS,ZAMORA,,ZAMORA,282520.51,4595193.32,453,ZAMORA,MANGANESES DE LA LAMPREANA,31598.446152026063
MANGANESES DE LA LAMPREANA,ZAMORA,,ZAMORA,274640.39,4625793.41,439,ZAMORA,MANGANESES DE LA LAMPREANA,0.0
MATILLA DE ARZÓN,ZAMORA,,ZAMORA,281540.41,4664943.22,157,LEÓN,VALDEVIMBRE,34871.19751543422
MAYALDE,ZAMORA,,ZAMORA,265590.44,4570393.34,152,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,48858.55443129264
MONFARRACINOS,ZAMORA,,ZAMORA,274260.39,4603783.34,995,ZAMORA,MANGANESES DE LA LAMPREANA,22013.35007228371
MORERUELA DE TÁBARA,ZAMORA,,ZAMORA,261610.12,4631473.33,288,ZAMORA,MANGANESES DE LA LAMPREANA,14214.409149848601
OLMILLOS DE CASTRO,ZAMORA,,ZAMORA,253109.99,4624223.32,193,ZAMORA,MANGANESES DE LA LAMPREANA,21587.57297076493
PEQUE,ZAMORA,,ZAMORA,229013.67,4663056.33,122,ZAMORA,MANGANESES DE LA LAMPREANA,58909.44563382679
PINILLA DE TORO,ZAMORA,,ZAMORA,302965.68,4611143.36,184,ZAMORA,MANGANESES DE LA LAMPREANA,31889.591069604412
SANTOVENIA,ZAMORA,,ZAMORA,275240.41,4639943.33,227,ZAMORA,MANGANESES DE LA LAMPREANA,14162.636054308457
TÁBARA,ZAMORA,,ZAMORA,254189.98,4634543.31,748,ZAMORA,MANGANESES DE LA LAMPREANA,22243.651210583444
TORRES DEL CARRIZAL,ZAMORA,,ZAMORA,277490.43,4610633.39,407,ZAMORA,MANGANESES DE LA LAMPREANA,15425.593486216812
VEGA DE TERA,ZAMORA,,ZAMORA,241162.78,4654312.27,287,ZAMORA,MANGANESES DE LA LAMPREANA,43978.12805260891
VILLAR DE FALLAVES,ZAMORA,,ZAMORA,305941.01,4644093.34,49,ZAMORA,MANGANESES DE LA LAMPREANA,36257.637131910415
ZAMORA,ZAMORA,,ZAMORA,270050.38,4597833.32,59506,ZAMORA,MANGANESES DE LA LAMPREANA,28334.340024221347
CARRASCOSA DE LA SIERRA,SORIA,,SORIA,559576.77,4638303.5,19,SORIA,LOS RÁBANOS,25429.763554783687
CENTENERA DE ANDALUZ,SORIA,,SORIA,523493.4,4595080.72,21,SORIA,LOS RÁBANOS,30881.254645213277
COSCURITA,SORIA,,SORIA,543820.41,4587171.59,68,SORIA,LOS RÁBANOS,31344.743215130988
DÉVANOS,SORIA,,SORIA,587356.76,4639711.23,72,SORIA,LOS RÁBANOS,48615.94553075792
ESPEJA DE SAN MARCELINO,SORIA,,SORIA,481648.17,4627833.51,151,BURGOS,REVILLARRUZ,59621.47117911245
FUENTEARMEGIL,SORIA,,SORIA,484830.07,4618153.38,150,SORIA,LOS RÁBANOS,58775.60608657477
FUENTES DE MAGAÑA,SORIA,,SORIA,568041.86,4642845.4,51,SORIA,LOS RÁBANOS,34483.63794506203
GÓMARA,SORIA,,SORIA,564563.61,4608292.39,288,SORIA,LOS RÁBANOS,23319.42527470394
LANGA DE DUERO,SORIA,,SORIA,466537.09,4606581.65,716,BURGOS,REVILLARRUZ,72071.66879960582
MONTENEGRO DE CAMEROS,SORIA,,SORIA,520358.1,4659768.94,45,SORIA,LOS RÁBANOS,47352.262762767205
NAVALENO,SORIA,,SORIA,499655.67,4631781.72,732,SORIA,LOS RÁBANOS,45907.462763792595
NOLAY,SORIA,,SORIA,554071.53,4597482.5,48,SORIA,LOS RÁBANOS,23493.580738767625
ÓLVEGA,SORIA,,SORIA,584542.68,4625901.25,3838,SORIA,LOS RÁBANOS,41599.01011766989
QUINTANA REDONDA,SORIA,,SORIA,532058.47,4609898.71,512,SORIA,LOS RÁBANOS,14407.040474105013
RECUERDA,SORIA,,SORIA,500436.48,4591568.56,62,SORIA,LOS RÁBANOS,50888.363667024314
SAN ESTEBAN DE GORMAZ,SORIA,,SORIA,482632.81,4602643.5,2935,SORIA,LOS RÁBANOS,63003.78987831289
SANTA MARÍA DE HUERTA,SORIA,,SORIA,568963.35,4568091.29,242,SORIA,LOS RÁBANOS,56441.81305339223
TARODA,SORIA,,SORIA,547494.33,4577503.5,46,SORIA,LOS RÁBANOS,41196.13861542107
VALDEMALUQUE,SORIA,,SORIA,496097.73,4613653.51,137,SORIA,LOS RÁBANOS,47754.98632159062
VILLACIERVOS,SORIA,,SORIA,530958.54,4623741.72,86,SORIA,LOS RÁBANOS,13683.35692062804
VILLASAYAS,SORIA,,SORIA,532600.39,4578029.63,60,SORIA,LOS RÁBANOS,41954.79370120294
VIZMANOS,SORIA,,SORIA,548946.99,4652647.65,30,SORIA,LOS RÁBANOS,34547.63491396386
ALAEJOS,VALLADOLID,,VALLADOLID,314430.65,4575271.27,1407,VALLADOLID,CIGUÑUELA,47601.744512286714
BAHABÓN,VALLADOLID,,VALLADOLID,392936.19,4592986.3,93,SEGOVIA,AGUILAFUENTE,31541.52106135936
BECILLA DE VALDERADUEY,VALLADOLID,,VALLADOLID,316553.93,4663094.38,200,LEÓN,VALDEVIMBRE,48690.669032450314
BENAFARCES,VALLADOLID,,VALLADOLID,308887.73,4610238.37,70,VALLADOLID,CIGUÑUELA,36486.03069622402
BERCERUELO,VALLADOLID,,VALLADOLID,330475.0,4605188.32,36,VALLADOLID,CIGUÑUELA,16146.606414599763
BOCOS DE DUERO,VALLADOLID,,VALLADOLID,410951.39,4608532.44,81,SEGOVIA,AGUILAFUENTE,44069.839936022196
CABEZÓN DE VALDERADUEY,VALLADOLID,,VALLADOLID,321631.9,4670599.48,33,LEÓN,VALDEVIMBRE,47219.42844953211
CANALEJAS DE PEÑAFIEL,VALLADOLID,,VALLADOLID,406856.3,4597876.48,252,SEGOVIA,AGUILAFUENTE,33218.52793126322
CASTREJÓN DE TRABANCOS,VALLADOLID,,VALLADOLID,318149.69,4568983.32,176,VALLADOLID,CIGUÑUELA,50442.17487009516
CASTRILLO DE DUERO,VALLADOLID,,VALLADOLID,415368.34,4603148.48,121,SEGOVIA,AGUILAFUENTE,39431.32985657113
CEINOS DE CAMPOS,VALLADOLID,,VALLADOLID,321943.07,4655527.41,172,VALLADOLID,CIGUÑUELA,49898.48741563445
CORRALES DE DUERO,VALLADOLID,,VALLADOLID,412651.39,4613740.28,105,SEGOVIA,AGUILAFUENTE,49429.1271097134
ESGUEVILLAS DE ESGUEVA,VALLADOLID,,VALLADOLID,385268.89,4623121.15,258,VALLADOLID,CIGUÑUELA,41583.76630753176
FUENSALDAÑA,VALLADOLID,,VALLADOLID,353121.48,4618782.3,2137,VALLADOLID,CIGUÑUELA,10674.375062194487
ÍSCAR,VALLADOLID,,VALLADOLID,371973.91,4580318.13,6396,SEGOVIA,AGUILAFUENTE,38190.5936719461
LOMOVIEJO,VALLADOLID,,VALLADOLID,339068.05,4557170.26,51,VALLADOLID,CIGUÑUELA,54653.64479177674
MATAPOZUELOS,VALLADOLID,,VALLADOLID,350358.14,4585982.1,1015,VALLADOLID,CIGUÑUELA,25966.10206508496
MEGECES,VALLADOLID,,VALLADOLID,369261.02,4585212.12,422,VALLADOLID,CIGUÑUELA,35504.935415938795
MELGAR DE ABAJO,VALLADOLID,,VALLADOLID,323310.82,4679185.55,114,LEÓN,VALDEVIMBRE,43948.69911472936
PEDROSA DEL REY,VALLADOLID,,VALLADOLID,316162.75,4602774.29,148,VALLADOLID,CIGUÑUELA,30455.705816812006
PIÑA DE ESGUEVA,VALLADOLID,,VALLADOLID,381220.89,4620758.17,310,VALLADOLID,CIGUÑUELA,37052.9172078772
POLLOS,VALLADOLID,,VALLADOLID,322459.74,4590169.14,562,VALLADOLID,CIGUÑUELA,31264.5060005113
QUINTANILLA DEL MOLAR,VALLADOLID,,VALLADOLID,297088.82,4651528.26,47,ZAMORA,MANGANESES DE LA LAMPREANA,34149.88307428564
RAMIRO,VALLADOLID,,VALLADOLID,350312.06,4565740.2,46,VALLADOLID,CIGUÑUELA,45989.223549109476
SAN LLORENTE,VALLADOLID,,VALLADOLID,411393.42,4615481.26,94,SEGOVIA,AGUILAFUENTE,51029.876330197534
SAN ROMÁN DE HORNIJA,VALLADOLID,,VALLADOLID,309273.61,4594596.21,301,VALLADOLID,CIGUÑUELA,39826.77999575909
SANTOVENIA DE PISUERGA,VALLADOLID,,VALLADOLID,359286.6,4617445.27,4703,VALLADOLID,CIGUÑUELA,15163.965857139614
SIMANCAS,VALLADOLID,,VALLADOLID,347656.27,4605921.27,5538,VALLADOLID,CIGUÑUELA,5999.648944813599
TORRE DE ESGUEVA,VALLADOLID,,VALLADOLID,400253.75,4624653.17,62,VALLADOLID,CIGUÑUELA,56463.16707675015
TUDELA DE DUERO,VALLADOLID,,VALLADOLID,368296.49,4604796.22,8786,VALLADOLID,CIGUÑUELA,23891.73694479537
